init_player,CMR,,,,
GK,CBL,CBR,,,
LB,CBL,CML,,,
CBL,GK,LB,CBR,CML,
CBR,GK,CBL,RB,CMR,
RB,CBR,CMR,,,
CML,LB,CBL,CMR,AM,LW
CMR,RB,CBR,CML,AM,RW
AM,CML,CMR,LW,RW,FW
LW,CML,AM,FW,,
RW,CMR,AM,FW,,
FW,LW,AM,RW,,
